Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32599,Oras Sangeorz-Bai,0.44577,0.46516,0.47647,0.48838,0.49378,0.4866,0.49351,0.50272,0.49063,0.48458,0.4794,0.48971,0.47468,0.48026
33275,Galatii Bistritei,0.29342,0.3099,0.32337,0.31519,0.32022,0.35276,0.3417,0.32268,0.32186,0.26401,0.24007,0.22373,0.2451,0.24854
33541,Livezile,0.40812,0.4037,0.38634,0.40607,0.42085,0.41134,0.37481,0.38113,0.3949,0.40697,0.41523,0.39159,0.37181,0.3775
33621,Maieru,0.3174,0.34397,0.34173,0.34574,0.37498,0.32436,0.30069,0.28469,0.29081,0.31393,0.31224,0.3171,0.31598,0.29719
33658,Matei,0.24128,0.26964,0.24153,0.24323,0.20766,0.2328,0.21177,0.18894,0.22976,0.23728,0.28772,0.27034,0.30157,0.22394
33765,Mariselu,0.33039,0.30445,0.33022,0.29383,0.15274,0.2919,0.31777,0.32162,0.31415,0.28325,0.27568,0.30055,0.20603,0.14702
35312,Urmenis,0.1494,0.14122,0.14701,0.14601,0.14604,0.0702,0.09917,0.09915,0.14886,0.15758,0.19902,0.22188,0.14026,0.09319
36756,Corni,0.2197,0.23657,0.20634,0.18613,0.2451,0.25345,0.17519,0.17656,0.1253,0.17728,0.16709,0.16237,0.25655,0.15235
37011,Dersca,0.25717,0.28174,0.28638,0.30856,0.32034,0.30111,0.33537,0.37218,0.36737,0.29729,0.29019,0.30863,0.34237,0.29691
37547,Havarna,0.28636,0.27137,0.33309,0.34623,0.34134,0.31685,0.32071,0.35341,0.3619,0.32942,0.33721,0.26162,0.27457,0.2618
37734,Hlipiceni,0.11195,0.19181,0.23761,0.19273,0.2564,0.23616,0.24347,0.24426,0.25169,0.20277,0.20854,0.23115,0.259,0.1826
38633,Radauti-Prut,0.17451,0.18003,0.20484,0.21823,0.1534,0.16534,0.0639,0.04008,0.0599,0.13223,0.1095,0.08575,0.15973,0.1288
38811,Roma,0.19055,0.23072,0.26768,0.17646,0.19271,0.19968,0.14914,0.12278,0.19688,0.20026,0.22829,0.20438,0.17258,0.17904
39792,Vlasinesti,0.17573,0.16303,0.17267,0.19175,0.21567,0.23893,0.21546,0.25259,0.16815,0.13547,0.13278,0.13881,0.15416,0.15559
39942,Lozna,0.11363,0.09905,0.10411,0.08554,0.15235,0.18655,0.13412,0.09641,0.08213,0.14046,0.11115,0.14404,0.12305,0.05065
40035,Adaseni,0.27042,0.0,0.0,0.28331,0.2852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40198,Municipiul Brasov,0.76245,0.75293,0.75842,0.75997,0.75705,0.75098,0.74107,0.73534,0.73335,0.72289,0.72345,0.72728,0.72757,0.71978
40214,Oras Ghimbav,0.48868,0.49247,0.51123,0.51794,0.50758,0.48266,0.43559,0.45045,0.43674,0.4153,0.40952,0.41388,0.44805,0.42188
40278,Municipiul Fagaras,0.65711,0.658,0.65448,0.64659,0.64244,0.63665,0.65772,0.65004,0.64408,0.64191,0.64417,0.6469,0.63845,0.63773
40303,Oras Predeal,0.48957,0.48248,0.47033,0.45044,0.43181,0.43995,0.43598,0.45175,0.45596,0.44526,0.46484,0.41696,0.40854,0.41802
40367,Oras Rasnov,0.58927,0.60182,0.59683,0.60253,0.60027,0.60266,0.5971,0.60618,0.58992,0.59176,0.5963,0.58898,0.59317,0.59361
40394,Oras Rupea,0.50229,0.50845,0.51822,0.52802,0.53654,0.5349,0.51792,0.51865,0.51292,0.51136,0.50967,0.51732,0.50605,0.50364
40544,Beclean,0.27539,0.33277,0.31966,0.27912,0.32717,0.31483,0.37915,0.39812,0.41767,0.41072,0.4331,0.41752,0.38133,0.34265
40633,Bran,0.48334,0.48827,0.49482,0.50624,0.5191,0.4804,0.46926,0.46858,0.4214,0.43196,0.43962,0.44798,0.45176,0.44419
40688,Budila,0.21075,0.25279,0.26549,0.29146,0.23438,0.2457,0.31283,0.34845,0.33006,0.3253,0.34553,0.37344,0.35691,0.26656
40820,Cincu,0.27961,0.28322,0.30756,0.27259,0.27606,0.28512,0.26877,0.24777,0.26352,0.21901,0.22396,0.21362,0.16935,0.21187
42156,Ungra,0.20407,0.21035,0.24153,0.19902,0.16128,0.15438,0.20422,0.15176,0.15176,0.19561,0.20475,0.1022,0.14852,0.13645
