County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
gr,5.144528125515138,0.8016192946473264,4.380820170355994,-0.0,0.9182958340544896,0.8756633923230397,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.333198571522974
hd,4.849091099860193,3.330468808472574,4.1835633704039665,3.1931234054546973,3.557722329204095,1.1056124005414156,1.5058231002082845,-0.0,1.2773600852070808,2.084713884177965,0.9182958340544896,-0.0,0.4689955935892812,3.3591830041902333,1.872880220394745,1.456564762130954,2.487891145759167,2.0523958394455937,-0.0,0.7793498372920851,-0.0,3.4885215713495117
hr,3.702969409265815,5.329277697063884,4.699807601879654,0.954434002924965,2.1261524399995486,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7732266742876346,-0.0,1.55049498181337
if,5.01816717607033,4.087293615269788,4.315523708251055,2.407342083627679,2.841134928239022,3.0694327846115392,2.652090682591907,1.4387586809150081,-0.0,-0.0,1.8417994776572135,-0.0,1.9612619756367713,3.403869932568415,1.7225990310684727,-0.0,-0.0,1.6506921808320234,2.1157406512735197,0.9852281360342515,1.1897801148158234,3.124609723813046
il,5.27521897801395,1.5798634010685344,3.5535867317702787,1.5058231002082845,-0.0,1.4832261969709113,0.753600452926343,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.7642045065086203,1.6707145064847897
is,4.957172400888396,0.9271852335616576,4.170595512997756,-0.0,0.22432696034508792,0.678114052360606,2.285871614954573,-0.0,-0.0,-0.0,-0.0,-0.0,0.32026200878705646,1.2955620067560487,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9852281360342515,0.4793356067355541
mh,4.6160906129017745,2.008906465134872,4.32490908273323,1.0,0.943601631299382,0.7793498372920851,-0.0,-0.0,0.8282476940761212,-0.0,-0.0,-0.0,-0.0,-0.0,0.9182958340544896,1.4462495384035368,-0.0,0.6962122601251458,-0.0,-0.0,-0.0,1.2640886121123147
mm,4.969091905690764,3.3041781019730787,3.893586300317847,2.824183348299279,1.8060001085724864,-0.0,0.8112781244591328,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9608529190939274,0.8203636429576731,-0.0,0.9852281360342515,-0.0,-0.0,-0.0,-0.0,2.3366849493710067
ms,5.12264749003648,4.979635711651651,5.961381336046695,1.1863929342238186,3.6343012485509063,1.5341329388589982,2.309263325412759,-0.0,-0.0,-0.0,1.5545851693377997,-0.0,-0.0,1.808627646638282,0.3602750564216626,-0.0,0.9182958340544896,-0.0,-0.0,0.954434002924965,-0.0,2.6498324492248675
nt,5.564110342836351,2.031552441918516,3.887138007868229,0.9886994082884974,1.0450725535269636,1.838041605518946,1.1841054573926888,-0.0,-0.0,-0.0,-0.0,-0.0,0.9321115676166747,2.2415350140877957,1.300168991505199,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3910337107189064
