Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
120218,Viisoara,0.05866,0.0875,0.0992,0.10643,0.10645,0.15503,0.10307,0.0,0.0,0.04746,0.0,0.0835,0.12367,0.16721
123255,Oniceni,0.20237,0.20397,0.20323,0.12596,0.1194,0.09677,0.0,0.0,0.0,0.0,0.05066,0.04469,0.08095,0.12513
124331,Stanita,0.24688,0.19809,0.25082,0.25443,0.2353,0.23434,0.23755,0.20711,0.10637,0.0,0.10802,0.20422,0.15646,0.13987
124885,Valea Ursului,0.1642,0.19871,0.14894,0.0,0.0,0.0,0.0,0.10797,0.0,0.08761,0.10643,0.08761,0.03486,0.07584
125114,Ghindaoani,0.14686,0.10472,0.0,0.0,0.0,0.0,0.0587,0.1065,0.11458,0.0,0.10656,0.19125,0.21467,0.25478
125132,Draganesti,0.10791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13395,0.13798,0.13402,0.16119,0.19071,0.21068
125141,Pancesti,0.0,0.0,0.0,0.0,0.0,0.09917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125178,Boghicea,0.12828,0.13717,0.18154,0.18862,0.12356,0.14539,0.15238,0.0,0.03815,0.04225,0.14297,0.1493,0.12368,0.1319
125490,Draghiceni,0.0991,0.05863,0.05872,0.0,0.0,0.0,0.0,0.06687,0.08414,0.12523,0.18702,0.18178,0.24394,0.21236
125588,Garcov,0.0,0.0,0.0,0.0,0.14033,0.14493,0.185,0.19683,0.20116,0.1294,0.28033,0.28263,0.29795,0.30237
125757,Barasti,0.0,0.0,0.0,0.05872,0.08257,0.12493,0.14026,0.18198,0.19717,0.20612,0.20339,0.20815,0.18785,0.1878
126825,Dobrun,0.0,0.26919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03816,0.16221,0.19757,0.20403,0.22417
126905,Fagetelu,0.0,0.09905,0.18601,0.10706,0.08766,0.08761,0.08761,0.08759,0.08759,0.15758,0.23621,0.24799,0.20198,0.22046
127411,Leleasca,0.10791,0.09905,0.11243,0.10708,0.09922,0.0,0.10799,0.12489,0.13987,0.18108,0.1673,0.20198,0.14279,0.10797
128301,Poboru,0.0,0.0,0.0,0.10802,0.10805,0.0,0.10703,0.23904,0.233,0.18141,0.23575,0.23128,0.22188,0.232
128882,Samburesti,0.0779,0.05428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08761,0.0,0.1064,0.0,0.0
129317,Tatulesti,0.1293,0.0,0.0,0.05436,0.12124,0.06118,0.13318,0.12115,0.14594,0.17302,0.16107,0.19941,0.20911,0.22868
129503,Topana,0.10791,9e-05,0.10802,0.0992,0.0,0.0,0.10799,0.2075,0.17112,0.17117,0.1644,0.18899,0.16811,0.16195
130348,Ipotesti,0.0,0.0,0.0,0.0,0.08766,0.09917,0.10799,0.15642,0.0,0.0,0.12526,0.04225,0.04009,0.04745
130384,Soparlita,0.0,0.0,0.0,0.0,0.078,0.1489,0.1489,0.13513,0.08759,0.14805,0.20585,0.12407,0.16992,0.17369
132137,Aricestii Zeletin,0.10645,0.0,0.09324,0.0,0.0,0.0,0.0,0.0,0.05869,0.18026,0.17469,0.26044,0.21467,0.27562
132459,Calugareni,0.14016,0.07011,0.10488,0.0992,0.0,0.0,0.0,0.0,0.0,0.16199,0.10708,0.11042,0.1022,0.13352
133866,Jugureni,0.0991,0.0,0.0,0.10488,0.0,0.0,0.0,0.09915,0.10483,0.05435,0.05872,0.12493,0.09517,0.21806
135681,Tataru,0.0,0.0875,0.08764,0.08764,0.10491,0.10799,0.10799,0.15754,0.15754,0.13223,0.10954,0.12411,0.1354,0.15212
137363,Cehal,0.13238,0.08469,0.09324,0.08764,0.10805,0.16436,0.09917,0.08759,0.18894,0.14026,0.16203,0.14805,0.07796,0.0
141027,Dragu,0.0,0.0,0.0,0.0,0.0,0.10799,0.0,0.0,0.0,0.0,0.0,0.16836,0.25604,0.21618
141081,Fildu De Jos,0.06909,0.15327,0.0,0.15505,0.24632,0.24928,0.24896,0.25056,0.20122,0.21598,0.2946,0.33348,0.33218,0.33909
141884,Lozna,0.0,0.0,0.0,0.07389,0.08766,0.09917,0.10799,0.10797,0.0,0.0,0.10802,0.16199,0.12367,0.09348
144376,Bradeni,0.0779,0.0,0.0,0.0,0.0,0.0,0.0,0.10553,0.14275,0.0702,0.20585,0.21139,0.20169,0.2218
144866,Ludos,0.19819,0.19871,0.07022,0.07022,0.0,0.0,0.07796,0.13513,0.12404,0.0,0.0,0.1489,0.16019,0.09319
145042,Mihaileni,0.06385,0.06382,0.0,0.0,0.0,0.0,0.0,0.06388,0.0,0.10799,0.0,0.10703,0.15758,0.08759
145961,Valea Viilor,0.0,0.02164,0.137,0.1573,0.1743,0.1422,0.16789,0.14907,0.1637,0.12364,0.21017,0.22377,0.23125,0.23312
150221,Siminicea,0.20764,0.17167,0.1673,0.11837,0.11467,0.0702,0.0,0.07385,0.12309,0.15142,0.25557,0.29778,0.27028,0.30102
151521,Burla,0.0,0.0,0.0,0.10558,0.09326,0.03643,0.09351,0.13896,0.14136,0.2005,0.24857,0.24334,0.25165,0.22636
152314,Bujoru,0.10509,0.10041,0.03019,0.01224,0.0,0.09966,0.14125,0.19325,0.24123,0.11372,0.11374,0.17444,0.15376,0.22252
152724,Didesti,0.08755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10799,0.21061,0.16432
152797,Dracsenei,0.0,0.0,0.1565,0.18394,0.10805,0.10799,0.16836,0.04468,0.03342,0.09378,0.15507,0.13399,0.11371,0.08584
153384,Mosteni,0.16423,0.07011,0.16534,0.16203,0.14813,0.20388,0.20198,0.20669,0.05064,0.04746,0.04226,0.04009,0.0,0.14006
153437,Necsesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10802,0.10799,0.10799,0.08759
153909,Rasmiresti,0.14918,0.08243,0.06391,0.03643,0.0,0.07387,0.0,0.0,0.05869,0.13223,0.15627,0.11461,0.11461,0.05434
153972,Saceni,0.0,0.0,0.1403,0.20313,0.20582,0.19992,0.2023,0.20416,0.21361,0.19314,0.23051,0.27016,0.28762,0.23039
154736,Traian,0.18847,0.14787,0.14601,0.10768,0.10491,0.0,0.09917,0.07018,0.16988,0.08253,0.0,0.05435,0.14303,0.09614
154932,Vartoape,0.0,0.09905,0.1241,0.22228,0.23767,0.1857,0.19927,0.20237,0.19897,0.24789,0.23877,0.24638,0.23063,0.24756
156151,Brestovat,0.0,0.09905,0.10802,0.10488,0.1605,0.20706,0.19017,0.16038,0.22511,0.19941,0.28365,0.27078,0.24707,0.26944
158608,Secas,0.0334,0.04597,0.0,0.0,0.0,0.0,0.08655,0.09674,0.10426,0.15991,0.2033,0.15758,0.14895,0.16873
159847,Beidaud,0.0,0.05058,0.09151,0.1317,0.21271,0.19993,0.20101,0.14382,0.13867,0.11735,0.10232,0.10558,0.1448,0.16426
160047,Ceatalchioi,0.07382,0.0,0.09395,0.1061,0.04749,0.0,0.0,0.0,0.08759,0.13223,0.05872,0.12407,0.09917,0.10477
160458,Grindu,0.27042,0.26919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
